Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
,"größte Kantenlänge über 2000 mm,",,
,"10,000 St Inspektionsöffnungen",,
,"Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, Dichtung aus PTFE, selbstklebend, für Kanalsystem für max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, Zur Prüfung der Brandschutzklappen ist zusätzlich im Anschlusskanal jeweils eine Revisionsöffnungen einzubauen.","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, Dichtung aus PTFE, selbstklebend, für Kanalsystem für max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, Zur Prüfung der Brandschutzklappen ist zusätzlich im Anschlusskanal jeweils eine Revisionsöffnungen einzubauen.","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, Dichtung aus PTFE, selbstklebend, für Kanalsystem für max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, Zur Prüfung der Brandschutzklappen ist zusätzlich im Anschlusskanal jeweils eine Revisionsöffnungen einzubauen."
,"Inspektionsöffnung rechteckig, aus Polypropylen, einschl. Verbindungselementen und Ausschnitt im Kanal *** Bezugsbeschreibung","Inspektionsöffnung rechteckig, aus Polypropylen, einschl. Verbindungselementen und Ausschnitt im Kanal *** Bezugsbeschreibung","Inspektionsöffnung rechteckig, aus Polypropylen, einschl. Verbindungselementen und Ausschnitt im Kanal *** Bezugsbeschreibung"
2.13.30,Inspektionsöffnung rechteckig PP 300/200mm STLB-Bau 2023-10 075 3611,,
,"Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rechteckig, aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Maße 300/200 mm, für Einbau in rechteckige Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3.","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rechteckig, aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Maße 300/200 mm, für Einbau in rechteckige Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3.","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rechteckig, aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Maße 300/200 mm, für Einbau in rechteckige Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3."
,"100,000 St",,
2.13.31,Inspektionsöffnung rechteckig PP 400x300 Maße 400/300 mm,,
,"75,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.30",,
2.13.32,"Inspektionsöffnung rechteckig PP isoliert 400/300mm Maße 400/300 mm, für Einbau in außen isolierte rechteckige zum Kanal, Dämmstärke bis 25 mm","Luftleitung, Deckel",isoliert analog
,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.30",,
2.13.33,Inspektionsöffnung rechteckig PP 500x400 Maße 500/400 mm,,
,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.30",,
2.13.34,"Inspektionsöffnung rechteckig PP isoliert 500/400mm Maße 500/400 mm, für Einbau in außen isolierte rechteckige zum Kanal, Dämmstärke bis 25 mm","Luftleitung, Deckel",isoliert analog
2.13.35,"10,000 St Inspektionsöffnung rund PP Durchm. 180-300mm STLB-Bau 2023-10 075 3611",,
,"Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rund, aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Durchmesser über 180 bis 300 mm, für Einbau in rechteckige Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3.","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rund, aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Durchmesser über 180 bis 300 mm, für Einbau in rechteckige Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3.","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rund, aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Durchmesser über 180 bis 300 mm, für Einbau in rechteckige Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3."
,"100,000 St","100,000 St","100,000 St"
