Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in Gesamtpreis
2.13.10,"EUR EUR *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.1 Luftltg rechteckig PP Kanten-L ü. 2000mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3623 Kantenlänge über 2000 mm,","EUR EUR *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.1 Luftltg rechteckig PP Kanten-L ü. 2000mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3623 Kantenlänge über 2000 mm,"
2.13.11,"40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.1 Luftltg rechteckig PP Kanten-L ü. 2000mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3623 Kantenlänge über 2000 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.1 Luftltg rechteckig PP Kanten-L ü. 2000mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3623 Kantenlänge über 2000 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
2.13.12,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.1 Luftltg rechteckig PP Kanten-L ü. 2000mm H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3623 Kantenlänge über 2000 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.1 Luftltg rechteckig PP Kanten-L ü. 2000mm H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3623 Kantenlänge über 2000 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
2.13.13,"160,000 m2 *** Bezugsbeschreibung Formstück Luftltg rechteckig PP Kanten-L bis 500mm H bis 3,5m STLB-Bau 2023-10 075 3622 Formstück für Luftleitung, rechteckig, aus Polypropylen (PP) DIN 4741, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Kantenlänge bis 500 mm, Mindest-Wanddicke gemäß max. Betriebsdruck und Temperatur, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft 0 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.","160,000 m2 *** Bezugsbeschreibung Formstück Luftltg rechteckig PP Kanten-L bis 500mm H bis 3,5m STLB-Bau 2023-10 075 3622 Formstück für Luftleitung, rechteckig, aus Polypropylen (PP) DIN 4741, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Kantenlänge bis 500 mm, Mindest-Wanddicke gemäß max. Betriebsdruck und Temperatur, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft 0 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton."
2.13.14,"80,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L bis 500mm H 3,5-5m STLB-Bau 2023-10 075 3622 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","80,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L bis 500mm H 3,5-5m STLB-Bau 2023-10 075 3622 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
2.13.15,"80,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L bis 500mm H 5-7m STLB-Bau 2023-10 075 3622 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","80,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L bis 500mm H 5-7m STLB-Bau 2023-10 075 3622 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
2.13.16,"160,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 500-1000mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 500 bis 1000 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 150,000 m2","160,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 500-1000mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 500 bis 1000 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 150,000 m2"
2.13.17,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 500-1000mm H 5-7m STLB-Bau 2023-10 075 3622 Kantenlänge über 500 bis 1000 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 500-1000mm H 5-7m STLB-Bau 2023-10 075 3622 Kantenlänge über 500 bis 1000 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
2.13.18,"430,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 1000-1500mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 1000 bis 1500 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","430,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 1000-1500mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 1000 bis 1500 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
2.13.19,"75,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 1000-1500mm H 5-7m STLB-Bau 2023-10 075 3622 Kantenlänge über 1000 bis 1500 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 215,000 m2","75,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 1000-1500mm H 5-7m STLB-Bau 2023-10 075 3622 Kantenlänge über 1000 bis 1500 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 215,000 m2"
