Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.127,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.14.128,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","5 m,",
2.14.129,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.14.130,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
2.14.131,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.14.132,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN225 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 225 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.133,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",,
2.14.134,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
2.14.135,"6,000 St *** Bezugsbeschreibung Muffe Luftleitg rund PP DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Muffe, für Luftleitung, rund, aus Polypropylen (PP) DIN 4741, Baustoffklasse DIN (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Temperatur, Außendurchmesser 75 mm, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe über Gelände/Fußboden",,"4102-1 B1 min./max. bis 3,5 m."
2.14.136,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN75 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
