Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis EUR
2.14.158,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.14.159,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.160,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN140 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm,",,
2.14.161,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN140 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.162,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.14.163,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",5 m.,
2.14.164,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.165,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
2.14.166,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m.",
2.14.167,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN225 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 225 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",5 m.,
2.14.168,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",,
