Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.169,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.170,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m.",
2.14.171,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN355 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.172,"5,000 St Elastische Verbindung runde Luftleitg Durchm. 100-250mm STLB-Bau 2023-10 075 3609 Elastisches Verbindungsstück, Baustoffklasse DIN 4102-1 B1 Luftdichtheitsklasse ATC3 DIN EN 16798-3, Druckklasse 2 DIN EN 1507, Unterdruckbereich, flexibler Bereich 160 mm, für runde Luftleitung,","(schwerentflammbar), Anordnung Durchmesser",im über 100 bis
2.14.173,"100,000 St Kompensator aus PPs-Wellflex DN250 Kompensator aus PPs-Wellflex mit Flanschen und Gegenflanschen zum Rundrohr aus PPs, Gegenflansch Anschweißen an zu verbindende Potentialausgleich, max. Betriebsüber-/ -unterdruck über 1000 bis","Einbau in Rohrleitung, 2000 Pa, DN250",Luftleitungen aus inklusive
2.14.174,"100,000 St *** Bezugsbeschreibung PPs-Flansch DN 90 PPs-Flansch DN 90 für Rohrverbindung als Einzelflansch, aus Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), komplett Edelstahl","Polypropylen (PP) aufgeschweißt, mit","DIN 4741, Schrauben aus"
2.14.175,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 110 DN 110.",,
2.14.176,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 125 DN 125.",,
2.14.177,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 140 DN 140.",,
2.14.178,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 160 DN 160.",,
2.14.179,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 180 DN 180.",,
