Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.31,"80,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.14.32,"120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.33,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN140 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm,",,
2.14.34,"35,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN140 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","5 m,",
2.14.35,"35,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.14.36,"80,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.37,"80,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN180 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm,",,
2.14.38,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","5 m,",
2.14.39,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
2.14.40,"82,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5","m,",
2.14.41,"83,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN225 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 225 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",,
,,"5 m,",
