Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.137,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm,",,
2.14.138,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.139,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.14.140,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.141,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.14.142,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",5 m.,
2.14.143,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN140 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm,",,
2.14.144,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN140 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",5 m.,
2.14.145,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.14.146,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.147,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN180 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm,",,
