Pos-Nr. Nr.),(Pos-,Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
,,"Material Luftleitung: PPs, elektrisch leitfähig/ PPs",,
,,"Ausführung Ventilator: PPs, keine Ex-Anforderung",,
,,"Brandschutzklappe motorisch, Absperrklappe motorisch, Volumenstromregler mit Luftmenge 470 m3/h : ATEX II 3G Ex __IIC T6, dann Zonenfreiheit, BSK beschichtet",,Antrieb:Bis
,,04RLT18: PFO Container,,
,,Material Luftleitung: Stahl verzinkt,,
,,"Ausführung Ventilator: Stahl verzinkt, keine Ex-Anforderung",,
,,"Brandschutzklappe motorisch: BSK beschichtet, keine Ex-Anforderung",,
,,"Absperrklappe motorisch, Volumenstromregler mit Antrieb: keine Ex-Anforderung",,
,,00RLT01: PFO Hochdruckboxen,,
,,Material Luftleitung: Stahl verzinkt,,
,,"Ausführung Ventilator: Stahl verzinkt, keine Ex-Anforderung",,
,,"Brandschutzklappe motorisch: BSK beschichtet, keine Ex-Anforderung",,
1,,"Absperrklappe motorisch, Volumenstromregler mit Antrieb: Bis Luftmenge 750 m3/h: ATEX II __IIC T6, bis Luftmenge 1.500 m3/h: ATEX II 3G Ex __IIC T6, dann Zonenfreiheit Raumlufttechnische Anlagen",,2G Ex
1.1,,04RLT01 bis 04RLT06 - Klimaanlagen Zuluft Labore,,
,,Ausführungsbeschreibung 1: Klimaanlagen,,
,,"Ausführungs- und Qualitätsbeschreibung der Klima- und Lüftungsgeräte Teil Geräte für Innenaufstellung Lüftungsgeräte baumustergeprüft nach VDI 6022, Blatt 1 und 2, VDI 3803, sowie",1,ÖNORM H 6021 und
,,"Raumlufttechnische Geräte Herstellerverbandes e.V. Modular aufgebaute Gerätekonstruktion, zerlegbar, ohne Schweißverbindung und aus einer innenliegenden Rahmenkonstruktion und außen angebrachten Wandpaneelen. Konstruktion innen glatt",,
,,"ausgeführt. Selbsttragende Rahmenkonstruktion aus verzinktem Stahl. Wandung und Boden Wandpaneele aus biegesteifen, doppelschaligen Sandwichplatten mit einer Innen- und aus feuerverzinktem Stahlblech und einem Isolierkern, dieser ist nicht brennbar nach DIN",,
,,"Außenwandung 4102, Klasse A 1. Die Außenwandung ist zusätzlich beschichtet. Durch ein umlaufendes, innenliegendes Profil erfolgt die thermische Trennung der beiden Bleche. Die endgültige Wandausführung ist der Beschreibung der Geräteposition zu entnehmen. Im gesamten Innenbereich ist der Rahmen in das Stufenpaneel integriert. Die Bodenfugen sind dauerelastisch versiegelt. Boden begehbar für Wartungspersonal.",,
,,"Wärmebrückenfaktor Klasse: min. TB2 Mechanische Stabilität: min. D1 Gehäuseleckage: min. L1 Filter-Bypass-Leckage: 0,1 % bis Filterklasse ISO ePM1 >= 80% Mindest-Einfügungsdämmaße De (dB) gemäß EN 1886: bei 125 Hz: 20,8 dB bei 250 Hz: 31,6 dB bei 500 Hz: 33,5 dB bei 1000 Hz: 22,5 dB bei 2000 Hz: 27,2 dB bei 4000 Hz: 37,5 dB bei 8000 Hz: 39 dB",,
,,Türen und Bediendeckel Türen und Bedienungsdeckel mit umlaufenden Dichtungen gemäß VDI 6022 und DIN 1946/T4,,
