Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.96,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.14.97,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN225 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 225 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.98,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",,
2.14.99,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
2.14.100,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.101,"5,000 St *** Bezugsbeschreibung Übergangsstück Luftleitg rund konisch PP DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Übergangsstück, für Luftleitung, rund, konisch, aus Polypropylen (PP) DIN 4741, DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Außendurchmesser 90 mm, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.",,"Baustoffklasse Temperatur, 1000 bis über Gelände/ befestigen"
2.14.102,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
2.14.103,"35,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.14.104,"80,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","5 m,",
2.14.105,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
