Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
6.4,Druckmessleitung,
6.4.1,"Rohr Stahl niro geschweißt AD 28mm WD 1,2mm Rohrleitung aus nichtrostenden Stahlrohren DVGW GW 541, geschweißt, Werkstoff-Nr 1.4521, Außendurchmesser 28 mm, Wanddicke 1,2 mm, Verbindung durch Pressen, mit Verpresstkennzeichnung und Prüfsicherheit, einschl. Dichtungsmittel und Herstellen der Verbindungen, Form- und Verbindungsstücke werden gesondert vergütet, Rohrbefestigungen werden gesondert vergütet, Verlegung in Gebäuden.",
6.4.2,"530,000 m Bogen Stahl niro 45-90Grad TW Pressverbindung AD 28mm STLB-Bau 2023-10 042 1067 Bogen, aus nichtrostendem Stahl, über 45 bis 90 Grad, für Rohrleitung aus nichtrostendem Werkstoff-Nr 1.4521, für Trinkwasser DIN 1988-200, als Pressverbindung mit mit Verpresstkennzeichnung und Prüfsicherheit, Außendurchmesser 28 mm.","Stahl, DVGW-Zertifizierung,"
6.4.3,"250,000 St T-Stück Stahl niro TW Pressverbindung AD 28mm STLB-Bau 2023-10 042 1067 T-Stück, aus nichtrostendem Stahl, für Rohrleitung aus nichtrostendem Stahl, 1.4521, für Trinkwasser DIN 1988-200, als Pressverbindung mit DVGW-Zertifizierung,",Werkstoff-Nr mit
6.4.4,"50,000 St Muffe Stahl niro TW Pressverbindung AD 28mm STLB-Bau 2023-10 042 1067 Muffe, aus nichtrostendem Stahl, für Rohrleitung aus nichtrostendem Stahl, Werkstoff-Nr für Trinkwasser DIN 1988-200, als Pressverbindung mit DVGW-Zertifizierung, mit","1.4521,"
6.4.5,"65,000 St Kappe Stahl niro TW Pressverbindung AD 28mm STLB-Bau 2023-10 042 1067 Kappe, aus nichtrostendem Stahl, für Rohrleitung aus nichtrostendem Stahl, Werkstoff-Nr für Trinkwasser DIN 1988-200, als Pressverbindung mit DVGW-Zertifizierung, mit Verpresstkennzeichnung und Prüfsicherheit, Außendurchmesser 28 mm.","1.4521,"
6.4.6,"25,000 St Übergangsverschraubung Einsteckende IG Stahl niro TW Pressverbindung AD 28mm Rp1/2 STLB-Bau 2023-10 042 1067 Übergangsverschraubung, mit Einsteckende und Innengewinde, aus nichtrostendem Stahl, dichtend, für Rohrleitung aus nichtrostendem Stahl, Werkstoff-Nr 1.4521, für Trinkwasser 1988-200, als Pressverbindung mit DVGW-Zertifizierung, mit Verpresstkennzeichnung und Prüfsicherheit, Außendurchmesser 28 mm, Gewindeanschluss Rp 1/2.",konisch DIN
6.4.7,"47,000 St PA-Schlauch 6/8 mm PA-Schlauch, Werkstoff Polyamid 12, weich, Temperaturbereich -40 bis +80 Grad C, +150 Grad C, Dichte ca. 1,0 g/cm3, Innendurchmesser 6 mm, Außendurchmesser 8 mm, Betriebsdruck 19 bar.",kurzzeitig max.
6.4.8,"138,000 m Gerade Einschraubverschraubung PA Gerade Einschraubverschraubung aus Polyamid, mit Außengewinde 1/2"", für zuvor Schlauch mit Innendurchmesser 6 mm und Außendurchmesser 8 mm. 47,000 St Rohrbefestigungen","genannten PA- eventuell Unterlegscheiben, u.ä.) für die zugehörigen"
6.4.9,"Dübel mit einem bauaufsichtlich zugelassenen Dübel) anzubieten. Rohrschelle Stahl verz L bis 0,5m DN25 STLB-Bau 2023-10 042 1395 Rohraufhängung als Rohrschelle, aus verzinktem Stahl, mit schalldämmenden Einlagen, Anforderungen entsprechend DIN 4109-1, Temperaturbereich - 40 bis 110 Grad C, Länge bis 0,5 m, Befestigung an Profilstahlkonstruktion, Rohr aus nichtrostendem Stahl, DN 25.",/-wände (bis Bohrloches für den Aufhängung
