Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
1.13.51,"Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",
1.13.52,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN250 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 250,",
1.13.53,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN250 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
1.13.54,"120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN250 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",
1.13.55,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN355 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
1.13.56,"Bogen Luftleitg rund 60Grad Stahl verz DN100 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Biegeradius gleich 1 DN, 60 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 100, glatt, mit mit Lippendichtung, geschraubt/genietet, mit Dichtungsband, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis Bohrungen, Befestigungsuntergrund Stahlbeton.","größer Einsteckenden, einschl."
1.13.57,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.56 Bogen Luftleitg rund 60Grad Stahl verz DN200 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden bis 3,5 m,",
1.13.58,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.56 Bogen Luftleitg rund 60Grad Stahl verz DN200 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200,",
1.13.59,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.56 Bogen Luftleitg rund 60Grad Stahl verz DN560 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 560, Montagehöhe über Gelände/Fußboden bis 3,5 m, 2,000 St *** Bezugsbeschreibung",
1.13.60,"Bogen Luftleitg rund 45Grad Stahl verz DN100 glatt H bis 3,5m STLB-Bau 2023-10 075 3624",
