Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
,"DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 5,000 m",,
2.18.10 2.18.11,"Luftltg rund ATC2 Stahl verz längsgefalzt DN315 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 315, 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN315 -750-2000Pa H","3,5-5m Aufhänge-/",
2.18.12,"15,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN355 -750-2000Pa H 3,5-5m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625",Aufhänge-/,
2.18.13,"DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN400 -750-2000Pa H bis",,
,"3,5m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 400, 5,000 m",Aufhänge-/,
2.18.14,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN400 -750-2000Pa H Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 400, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 5,000 m","3,5-5m Aufhänge-/",
2.18.16,"Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 450, 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN450 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg.","bis 3,5m Aufhänge-/",
2.18.17,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN500 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 500,",,
2.18.18,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 rund ATC2 Stahl verz längsgefalzt DN500 -750-2000Pa H 3,5-5m Aufhänge-/ schallg. 2023-10 075 3625 500, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
,"Luftltg Auflagekonstruktion STLB-Bau DN 5,000 m",,
