Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.21,"25,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 355mm H 3,5-5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3621 Außendurchmesser 355 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","schallg. 5 m,",
2.14.22,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 560mm H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3621",schallg.,
2.14.23,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 630mm H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3621 Außendurchmesser 630 mm,",schallg.,
2.14.24,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 800mm H bis 3,5m STLB-Bau 2023-10 075 3621 Außendurchmesser 800 mm,",Aufhänge-/Auflagekonstruktion schallg.,
2.14.25,"10,000 m *** Bezugsbeschreibung Bogen Luftleitg rund 90Grad PP DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Bogen, für Luftleitung, rund, Biegeradius größer DIN 4741, Baustoffklasse DIN 4102-1 B1 Betriebsdruck und Temperatur, Außendurchmesser Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, bis 40 Grad C, Montagehöhe über Gelände/Fußboden DIN EN 12236, schallgedämmt, befestigen mit einschl. Bohrungen, Befestigungsuntergrund","gleich 1 DN, 90 Grad, aus Polypropylen (schwerentflammbar), Mindest-Wanddicke gemäß 75 mm, Verbindung geschweißt, min./max. Temperatur der bis 3,5 m, mit Befestigungsmitteln mit Stahlbeton.",(PP) max. max. geförderten Luft -15 Aufhänge-/Auflagekonstruktion bauaufsichtlichem Nachweis
2.14.26,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN75 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
2.14.27,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm,",,
2.14.28,"160,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.14.29,"105,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.14.30,"180,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
