Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.133,"größter DN 250, 5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN250 symmetrisch STLB-Bau 2023-10 075 3624 größter DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis","H 3,5-5m 5 m,",
1.13.134,"11,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN250 symmetrisch STLB-Bau 2023-10 075 3624 größter DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7","H 5-7m m,",
1.13.135,"2,000 St *** Bezugsbeschreibung Bundkragen Luftleitg rund Stahl verz DN100 H bis 3,5m STLB-Bau 2023-10 075 3624 Bundkragen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 DIN EN Stahl, DN 100, zum Einstecken, mit Lippendichtung, min./max. -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe","16798-3, Temperatur der über","aus verzinktem geförderten Luft Gelände/Fußboden bis 3,5"
1.13.136,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN100 H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.137,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN100 H 5-7m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.138,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.139,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN160 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",,
1.13.140,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN160 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.141,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN160 H 5-7m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.142,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN200 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200,",,
