Pos-Nr. (Pos- Nr.),Menge,Einheit,Gesamtpreis in
4,,,
,"EUR EUR Technische Dämmung Gewerk Lüftung/ PFO Hinweis Dämmarbeiten AN Lüftung/ PFO Im Bauvorhaben NTC wird ein separates Fachunternehmen für das Gewerk Technische Dämmung beauftragt. Im nachfolgenden Kapitel ausgeschriebene Dämmarbeiten sind für die Lüftungs- und Prozessfortluftleitungen im 4.OG, die aufgrund der späteren erschwerten Zugänglichkeit zeitnah nach bzw. vor der Installation ausgeführt werden müssen. Hinweis Rauchentwicklungsklasse s2 nach DIN EN 13501-1 Im BV dürfen nur Baustoffe verwendet werden, die eine Baustoffklasse: schwerentflammbar, BL- s2,d0; nachweisen können. Der Nachweis der Rauchentwickungsklasse s2 nach DIN EN 13501-1 ist in","EUR EUR Technische Dämmung Gewerk Lüftung/ PFO Hinweis Dämmarbeiten AN Lüftung/ PFO Im Bauvorhaben NTC wird ein separates Fachunternehmen für das Gewerk Technische Dämmung beauftragt. Im nachfolgenden Kapitel ausgeschriebene Dämmarbeiten sind für die Lüftungs- und Prozessfortluftleitungen im 4.OG, die aufgrund der späteren erschwerten Zugänglichkeit zeitnah nach bzw. vor der Installation ausgeführt werden müssen. Hinweis Rauchentwicklungsklasse s2 nach DIN EN 13501-1 Im BV dürfen nur Baustoffe verwendet werden, die eine Baustoffklasse: schwerentflammbar, BL- s2,d0; nachweisen können. Der Nachweis der Rauchentwickungsklasse s2 nach DIN EN 13501-1 ist in","EUR EUR Technische Dämmung Gewerk Lüftung/ PFO Hinweis Dämmarbeiten AN Lüftung/ PFO Im Bauvorhaben NTC wird ein separates Fachunternehmen für das Gewerk Technische Dämmung beauftragt. Im nachfolgenden Kapitel ausgeschriebene Dämmarbeiten sind für die Lüftungs- und Prozessfortluftleitungen im 4.OG, die aufgrund der späteren erschwerten Zugänglichkeit zeitnah nach bzw. vor der Installation ausgeführt werden müssen. Hinweis Rauchentwicklungsklasse s2 nach DIN EN 13501-1 Im BV dürfen nur Baustoffe verwendet werden, die eine Baustoffklasse: schwerentflammbar, BL- s2,d0; nachweisen können. Der Nachweis der Rauchentwickungsklasse s2 nach DIN EN 13501-1 ist in"
4.1,bei der Ermittlung des Einheitspreises zu berücksichtigen Wärmedämmung von Luftleitungen mit Mineralwolle alukaschiert,bei der Ermittlung des Einheitspreises zu berücksichtigen Wärmedämmung von Luftleitungen mit Mineralwolle alukaschiert,bei der Ermittlung des Einheitspreises zu berücksichtigen Wärmedämmung von Luftleitungen mit Mineralwolle alukaschiert
4.1.1,"Wärmedämmung sind nicht eingehalten, im Gebäude, Dämmung aus Mineralwolle DIN EN 14303, als Lamellenmatte, einlagig, Dämmschichtdicke 30 mm, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, kaschiert mit Alufolie, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür",bis 500mm Gebäude,"Wärmedämmung sind nicht eingehalten, im Gebäude, Dämmung aus Mineralwolle DIN EN 14303, als Lamellenmatte, einlagig, Dämmschichtdicke 30 mm, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, kaschiert mit Alufolie, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür"
4.1.2,"130,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 500-1000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 500 bis 1000 mm,","130,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 500-1000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 500 bis 1000 mm,","130,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 500-1000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 500 bis 1000 mm,"
4.1.3,"375,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 1000-1500mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 1000 bis 1500 mm,","375,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 1000-1500mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 1000 bis 1500 mm,","375,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 1000-1500mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 1000 bis 1500 mm,"
4.1.4,"580,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 1500-2000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 1500 bis 2000 mm,","580,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 1500-2000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 1500 bis 2000 mm,","580,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L 1500-2000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 1500 bis 2000 mm,"
4.1.5,"245,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L ü. 2000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 2000 mm,","245,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L ü. 2000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 2000 mm,","245,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.1 Wärmedämmung Luftltg Kanten-L ü. 2000mm Gebäude Mineralwolle Matte D 30mm STLB-Bau 2023-10 047 5952 Kantenlänge über 2000 mm,"
4.1.6,"90,000 m2 Wärmedämmung ohne Ummantelung, an Formstücken, rechteckig Wärmedämmung ohne zusätzliche Ummantelung an Formstücken, rechteckig *** Bezugsbeschreibung Formstück Mineralwolle Wärmedämmung Luftltg Kanten-L bis 500mm Gebäude 0,040W/(mK) einlagig D 30mm kaschiert Alu-Folie STLB-Bau 2023-10 047 8138 Formstück aus Mineralwolle DIN EN 14303, Wärmedämmung DIN 4140 an haus- und Anlagen, an Luftleitung, rechteckig, Kantenlänge bis 500 mm, Mindestabstände DIN 4140 sind nicht eingehalten, Maße DIN EN 1505, im Gebäude, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 30 mm, kaschiert mit Aluminiumfolie, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes.","90,000 m2 Wärmedämmung ohne Ummantelung, an Formstücken, rechteckig Wärmedämmung ohne zusätzliche Ummantelung an Formstücken, rechteckig *** Bezugsbeschreibung Formstück Mineralwolle Wärmedämmung Luftltg Kanten-L bis 500mm Gebäude 0,040W/(mK) einlagig D 30mm kaschiert Alu-Folie STLB-Bau 2023-10 047 8138 Formstück aus Mineralwolle DIN EN 14303, Wärmedämmung DIN 4140 an haus- und Anlagen, an Luftleitung, rechteckig, Kantenlänge bis 500 mm, Mindestabstände DIN 4140 sind nicht eingehalten, Maße DIN EN 1505, im Gebäude, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 30 mm, kaschiert mit Aluminiumfolie, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes.","90,000 m2 Wärmedämmung ohne Ummantelung, an Formstücken, rechteckig Wärmedämmung ohne zusätzliche Ummantelung an Formstücken, rechteckig *** Bezugsbeschreibung Formstück Mineralwolle Wärmedämmung Luftltg Kanten-L bis 500mm Gebäude 0,040W/(mK) einlagig D 30mm kaschiert Alu-Folie STLB-Bau 2023-10 047 8138 Formstück aus Mineralwolle DIN EN 14303, Wärmedämmung DIN 4140 an haus- und Anlagen, an Luftleitung, rechteckig, Kantenlänge bis 500 mm, Mindestabstände DIN 4140 sind nicht eingehalten, Maße DIN EN 1505, im Gebäude, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 30 mm, kaschiert mit Aluminiumfolie, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes."
,"betriebstechnischen 115,000 m2","betriebstechnischen 115,000 m2","betriebstechnischen 115,000 m2"
