Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
2.18.29,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN355 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.30,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN450 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 450, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.31,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN500 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 500, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.32,"*** Bezugsbeschreibung Bogen Passstück kleiner 90Grad Stahl verz DN450 H 3,5-5m Bogen, als Passstück, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 450, glatt, mit Flansch,mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben und min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis","größer gleich Dichtung, bis 1000 Pa, EN 12236, einschl."
2.18.33,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.32 Bogen Passstück kleiner 90Grad Stahl verz DN500 H 3,5-5m DN 500",
2.18.34,"1,000 St *** Bezugsbeschreibung Übergangsstück Luftleitg rund konisch Stahl verz DN125 H bis 3,5m STLB-Bau 2023-10 075 3624 Übergangsstück, für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN DIN EN 1506, aus verzinktem Stahl, größter DN 125, mit Flansch, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben und Dichtung, min./max. geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236,","16798-3, konisch, Maße Flanschverbinder, mit Temperatur der Montagehöhe über schallgedämmt, Bohrungen,"
2.18.35,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.34 Übergangsstück Luftleitg rund konisch Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.36,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.34 Übergangsstück Luftleitg rund konisch Stahl verz DN160 H 3,5-5m STLB-Bau 2023-10 075 3624 größter DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.37,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.34 Übergangsstück Luftleitg rund konisch Stahl verz DN200 H bis 3,5m STLB-Bau 2023-10 075 3624 größter DN 200,",
2.18.38,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.34 Übergangsstück Luftleitg rund konisch Stahl verz DN200 H 3,5-5m STLB-Bau 2023-10 075 3624",
