Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.143,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN200 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.144,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN200 H 5-7m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.145,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN250 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 250,",,
1.13.146,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN250 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.147,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.135 Bundkragen Luftleitg rund Stahl verz DN250 H 5-7m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.148,"1,000 St *** Bezugsbeschreibung Sattelstutzen Luftleitg rund 90Grad Stahl verz DN100 H 3,5-5m STLB-Bau 2023-10 075 3624 Sattelstutzen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 verzinktem Stahl, DN 100, geschraubt/genietet, mit Dichtungsband, geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis Gelände/Fußboden über 3,5 bis 5 m, mit Aufhänge-/Auflagekonstruktion, Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Stahlbeton.","DIN EN 16798-3, min./max. 2000 Pa, befestigen Bohrungen,","90 Grad, aus Temperatur der Montagehöhe über mit Befestigungsuntergrund"
1.13.149,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.148 Sattelstutzen Luftleitg rund 90Grad Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125,",,
1.13.150,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.148 Sattelstutzen Luftleitg rund 90Grad Stahl verz DN160 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160,",,
1.13.151,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.148 Sattelstutzen Luftleitg rund 90Grad Stahl verz DN200 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200,",,
1.13.152,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.148 Sattelstutzen Luftleitg rund 90Grad Stahl verz DN250 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250,",,
