Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis
1.11,Luftauslässe,EUR
1.11.1,"Lüftungsventile für Zuluft, Deckeneinbau *** Bezugsbeschreibung Luftventil Zuluft 100mm beschStahl STLB-Bau 2023-10 075 4649 Luftventil, für Zuluft, für Wand-/Deckeneinbau, Nenngröße 100 mm, mit einstellbarem Ventilteller, aus beschichtetem Stahl, mit Einbaurahmen Farbton RAL 9010 Zuluftvolumenstrom in m3/h max. 50 max. A-Schallleistungspegel in dB 40","Ventilsitz und manuell aus beschichtetem Stahl,"
,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.1 Luftventil Zuluft 200mm beschStahl STLB-Bau 2023-10 075 4649",
1.11.3,"Nenngröße 200 mm, Zuluftvolumenstrom in m3/h max. 170",
1.11.4,"10,000 St Lüftungsventile für Abluft, Deckeneinbau Lüftungsventile für Abluft, Deckeneinbau *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.1 Luftventil Abluft 100mm beschStahl STLB-Bau 2023-10 075 4649 für Abluft,",
1.11.5,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.1 Luftventil Abluft 125mm beschStahl STLB-Bau 2023-10 075 4649 für Abluft, Nenngröße 125 mm,",
1.11.6,"46,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.1 Luftventil Abluft 200mm beschStahl STLB-Bau 2023-10 075 4649 für Abluft, Nenngröße 200 mm,",
1.11.7,"Brandschutzventile für Zuluft, Deckeneinbau in feuerwiderstandsfähige Unterdecke Stahlblech pulverbeschichtet, Farbton RAL 9010 *** Bezugsbeschreibung Brandschutztellerventil Unterdecke K30-U Gr.125 STLB-Bau 2023-10 075 4644 Brandschutztellerventil für Unterdecken, Feuerwiderstandsklasse K 30-U DIN allgemeiner bauaufsichtlicher Zulassung, Nenndurchmesser 125, Volumenstrom in Einlegedecke, mit Schmelzlot mit einer Nennauslösetemperatur von max. 72 Grad elektrischem Endschalter.","4102-6, mit einstellbar, Einbau"
1.11.8,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.11.7 Brandschutztellerventil Unterdecke K30-U Gr.160 STLB-Bau 2023-10 075 4644 Nenndurchmesser 160,","C, mit"
1.11.9,"1,000 St Brandschutzventile für Zu- und Abuft, Einbau in Massivdecke Stahlblech pulverbeschichtet, Farbton RAL 9010 Brandschutztellerventil EI90S Gr.100",
