Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.117,"Außendurchmesser 250 mm, 7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN250 H 3,5-5m",,
2.14.118,"Übergangsstück Luftleitg rund konisch PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über St Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101","3,5 bis 5 m,",
2.14.119,"4,000 *** Übergangsstück Luftleitg rund konisch PP DN355 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.120,"*** Bezugsbeschreibung Sattelstutzen Luftleitg rund 90Grad PP DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Sattelstutzen, für Luftleitung, rund, 90 Grad, aus Polypropylen (PP) DIN 4741, DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Außendurchmesser 75 mm, Verbindung geschweißt, max. Betriebsüber-/-unterdruck 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt,",,"Baustoffklasse Temperatur, über 1000 bis über Gelände/ befestigen"
2.14.121,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm,",,
2.14.122,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN90 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.123,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.14.124,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.14.125,"14,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
2.14.126,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.120 Sattelstutzen Luftleitg rund 90Grad PP DN140 H bis 3,5m STLB-Bau 2023-10 075 3620",,
