Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis EUR
1.13.41,"STLB-Bau 2023-10 075 3624 DN 100, 120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H 3,5-5m",,
1.13.42,"240,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.43,"40,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN125 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",,
1.13.44,"35,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN125 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.45,"65,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN125 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.46,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN160 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",,
1.13.47,"40,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN160 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.48,"75,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN160 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.49,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200,",,
1.13.50,"55,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
