Pos-Nr. Nr.),(Pos-,Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.206,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN250 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 250,",,
1.13.207,,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN250 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.208,,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN250 H 5-7m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.209,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN280 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 280, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.210,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN355 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.211,,"Inspektionsöffnungen Inspektionsöffnungen, Dichtungen selbstklebend aus EPDM oder PTFE *** Bezugsbeschreibung Inspektionsöffnung oval Stahl verz 180/80mm STLB-Bau 2023-10 075 3611 Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Stahl, Maße 180/80 mm, für Einbau in runde Luftleitung, mit und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3.","Dichtung, Kantenschutz, mit","oval, aus verzinktem Schraubverschluss"
1.13.212,,"120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.211 Inspektionsöffnung oval Stahl verz 200/100mm STLB-Bau 2023-10 075 3611 Maße 200/100 mm,",,
1.13.213,,"120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.211 Inspektionsöffnung oval Stahl verz 300/200mm STLB-Bau 2023-10 075 3611 Maße 300/200 mm,",,
1.13.214,,"40,000 St Inspektionsöffnung, isoliert oval Stahl verz 180/80mm Inspektionsöffnung, isoliert oval Stahl verz 180/80mm Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen Stahl, Maße 180/80 mm, für Einbau in isolierte runde Luftleitung, Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3","und Dichtung, mit Kantenschutz, DIN EN 16798-3.","oval, aus verzinktem mit"
1.13.215,,"120,000 St Inspektionsöffnung, isoliert oval Stahl verz 200/100mm Maße 200/100mm",,
