Pos-Nr. (Pos-,Menge Einheit,Einheitspreis in Gesamtpreis in
4.2.9,"EUR EUR *** Bezugsbeschreibung Kältedämmung Ummantelung Luftltg Kanten-L 500-1000mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kältedämmung einschl. Ummantelung DIN 4140, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung aus flexiblem Elastomerschaum DIN EN 14304, Dämmschichtdicke 19 mm, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/ (mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN EN 12086, Ummantelung aus nichtprofiliertem Blech, Stahl, feuerverzinkt, Blechdicke 1 mm, ohne Luftspalt, Überlappungen verschrauben, Arbeitshöhe des Montageortes bis","EUR EUR *** Bezugsbeschreibung Kältedämmung Ummantelung Luftltg Kanten-L 500-1000mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kältedämmung einschl. Ummantelung DIN 4140, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung aus flexiblem Elastomerschaum DIN EN 14304, Dämmschichtdicke 19 mm, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/ (mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN EN 12086, Ummantelung aus nichtprofiliertem Blech, Stahl, feuerverzinkt, Blechdicke 1 mm, ohne Luftspalt, Überlappungen verschrauben, Arbeitshöhe des Montageortes bis"
,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.9 Kältedämmung Ummantelung Luftltg Kanten-L",
4.2.10,1000-1500mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kantenlänge über 1000 bis 1500 mm,1000-1500mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kantenlänge über 1000 bis 1500 mm
,"60,000 m2",
4.2.11,*** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.9 Kältedämmung Ummantelung Luftltg Kanten-L 1500-2000mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kantenlänge über 1500 bis 2000 mm,*** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.9 Kältedämmung Ummantelung Luftltg Kanten-L 1500-2000mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kantenlänge über 1500 bis 2000 mm
,"30,000 m2 *** Wiederholungsbeschreibung",
4.2.12,zu Bezugs-OZ 4.2.9 Kältedämmung Ummantelung Luftltg Kanten-L ü. 2000mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kantenlänge über 2000 mm,zu Bezugs-OZ 4.2.9 Kältedämmung Ummantelung Luftltg Kanten-L ü. 2000mm Gebäude flexibler Elastomerschaum D 19mm Mantel Blech Stahl verz Kantenlänge über 2000 mm
4.2.13,"20,000 m2 Kältedämmung mit Ummantelung bis 2m Höhe, an Formstück, rechteckig, Dämmung flexibler Elastomerschaum, D 19mm Kältedämmung mit zusätzlicher Ummantelung, an Formstücken, rechteckig, Dämmung aus Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm, Ummantelung bis 2m Höhe Bezugsbeschreibung flexibler Elastomerschaum Kältedämmung Ummantelung Luftltg Kanten-L 500-1000mm 0,036W/(mK) einlagig D 19mm Mantel Blech Stahl verz D 1mm verschrauben","flexiblem Ummantelung DIN Maße DIN EN 1505, im"
,"*** Formstück Gebäude Formstück aus flexiblem Elastomerschaum DIN EN 14304, Kältedämmung einschl. 4140 an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, Gebäude, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/ (mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 19 mm, Ummantelung aus nichtprofiliertem Blech, Stahl, feuerverzinkt, Blechdicke 1 mm, ohne Luftspalt, verschrauben, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes.","*** Formstück Gebäude Formstück aus flexiblem Elastomerschaum DIN EN 14304, Kältedämmung einschl. 4140 an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, Gebäude, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/ (mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 19 mm, Ummantelung aus nichtprofiliertem Blech, Stahl, feuerverzinkt, Blechdicke 1 mm, ohne Luftspalt, verschrauben, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes."
,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.13 Formstück flexibler Elastomerschaum Kältedämmung Ummantelung Gebäude 0,036W/(mK) einlagig D 19mm Mantel Blech",Kanten-L 1000-1500mm
