Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.81,"STLB-Bau 2023-10 075 3624 DN 200, 3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN200 glatt H 3,5-5m STLB-Bau 2023-10 075 3624",,
,"DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN250 glatt H bis 3,5m STLB-Bau 2023-10 075 3624",,
1.13.83,"DN 250,",,
1.13.84,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN250 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.85,"*** Bezugsbeschreibung Bogen Luftleitg rund 15Grad Stahl verz DN100 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 DIN EN 16798-3, gleich 1 DN, 15 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 100, mit Lippendichtung, geschraubt/genietet, mit Dichtungsband, min./max. geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Gelände/Fußboden über 3,5 bis 5 m, mit Aufhänge-/Auflagekonstruktion DIN schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis","glatt, Temperatur EN","Biegeradius größer mit Einsteckenden, der Montagehöhe über 12236, einschl."
1.13.86,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.85 Bogen Luftleitg rund 15Grad Stahl verz DN160 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden bis 3,5 m,",,
1.13.87,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.85 Bogen Luftleitg rund 15Grad Stahl verz DN160 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160,",,
1.13.88,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.85 Bogen Luftleitg rund 15Grad Stahl verz DN200 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden bis 3,5 m,",,
1.13.89,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.85 Bogen Luftleitg rund 15Grad Stahl verz DN200 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200,",,
1.13.90,"3,000 St *** Bezugsbeschreibung Bogen Passstück kleiner 90Grad Stahl verz DN100 glatt H bis 3,5m",,
