Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14,"Luftleitungssystem - Rohrleitungen und Zubehör, PPs",,
2.14.1,"Hinweis Dichtheitsklasse PPs Leitungen Für die nachfolgenden Positionen für Rohrleitungen und Formteile aus Polypropylen (PP) 4741, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar) ist mindestens die Luftdichtheitsklasse ATC2 nach DIN EN 16798-3 zu erreichen. *** Bezugsbeschreibung Luftltg rund PP AD 75mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Luftleitung, rund, aus Polypropylen (PP) DIN 4741, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Temperatur, Außendurchmesser 75 mm, Verbindung geschweißt, Form- und Verbindungsstücke werden vergütet, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft 0 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/",,DIN gesondert
2.14.2,"85,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 75mm H 3,5-5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3621 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",schallg.,
2.14.3,"45,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 90mm H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3621",schallg.,
2.14.4,"235,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 90mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5","m,",
2.14.5,"155,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 110mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 110 mm,",,
2.14.6,"315,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 110mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
2.14.7,"135,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 125mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 125 mm,",,
2.14.8,"245,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 125mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
2.14.9,"105,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.1 Luftltg rund PP AD 140mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 140 mm,",,
