Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis
2.11,Schalldämpfer PFO,EUR
2.11.1,"*** Bezugsbeschreibung Schalldämpfer rund Druckdifferenz bis 30Pa DN125 Schalldämpfer, rund, für Luftleitungseinbau einschl. Gehäuse, Druckdifferenz bis 30 Pa, für Abluft, Luftvolumenstrom in m3/h 200, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=9dB, wirksame Schalldämpferlänge in mm 500, DN 125, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Außenrohr aus PPS, Innenrohr perforiert, aus PPS, Baustoffklasse DIN 4102-1 A (nichtbrennbar); DIN EN 13501-1 A1, A2 s1 d0 (nichtbrennbar), mit Flanschverbinder einschl. Gegenflansche, Schrauben und Dichtungen.",
2.11.2,"Schalldämpfer rund Druckdifferenz bis 30Pa DN140 Luftvolumenstrom in m3/h 300, Mind.-Dämpfung bei den 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=7dB, DN 140 62,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.11.1 Schalldämpfer rund Druckdifferenz bis 30Pa DN160",Oktavmittenfrequenzen
2.11.3,"Luftvolumenstrom in m3/h 350, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=7dB, DN 160 St Wiederholungsbeschreibung zu Bezugs-OZ 2.11.1",
2.11.4,"2,000 *** Schalldämpfer rund Druckdifferenz bis 30Pa DN200 Luftvolumenstrom in m3/h 600, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=6dB, DN 200",
2.11.5,"58,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.11.1 Schalldämpfer rund Druckdifferenz bis 30Pa DN250 Luftvolumenstrom in m3/h 600, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=5dB, DN 250",
2.11.6,"*** Bezugsbeschreibung Schalldämpfer rund Druckdifferenz bis 30Pa DN125 Schalldämpfer, rund, für Luftleitungseinbau einschl. Gehäuse, Druckdifferenz bis 30 Pa, für Abluft, Luftvolumenstrom in m3/h 200, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=7dB wirksame Schalldämpferlänge in mm 500, DN 125, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Außenrohr aus PPS, elektrisch leitfähig, Innenrohr perforiert, aus PPS, elektrisch leitfähig, Baustoffklasse DIN 4102-1 A (nichtbrennbar); DIN EN 13501-1 A1, A2 s1 d0 (nichtbrennbar), mit Flanschverbinder einschl. Gegenflansche, Schrauben und Dichtungen.",
2.11.7,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.11.6 Schalldämpfer rund Druckdifferenz bis 30Pa DN160 Luftvolumenstrom in m3/h 250, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=6dB, DN 160",
2.11.8,"23,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.11.6 Schalldämpfer rund Druckdifferenz bis 30Pa DN200 Luftvolumenstrom in m3/h 530, Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=6dB, DN 200",
2.11.9,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.11.6 Schalldämpfer rund Druckdifferenz bis 30Pa DN250 Luftvolumenstrom in m3/h 1.080, Mind.-Dämpfung bei den",
,Oktavmittenfrequenzen,
