Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis
2.18.19,Luftltg rund ATC2 Stahl verz längsgefalzt DN710 -750-2000Pa H Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625,"bis 3,5m Aufhänge-/"
2.18.20,"5,000 m *** Bezugsbeschreibung Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 100, Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Bohrungen, Befestigungsuntergrund Stahlbeton.","16798-3, Biegeradius größer glatt, mit Flansch, mit Schrauben und Dichtung, Druckbereich von -750 bis 2000 Pa, DIN EN 12236, Nachweis einschl."
2.18.21,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.22,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN125 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",
2.18.23,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN125 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.24,"14,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN160 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",
2.18.25,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN160 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.26,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200,",
2.18.27,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.18.28,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.20 Bogen Luftleitg rund 90Grad Stahl verz DN315 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 315, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
