Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.16.20,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN75 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
2.16.21,"85,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm,",,
2.16.22,"115,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.16.23,"75,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.16.24,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.16.25,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.16.26,"9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.16.27,"13,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.16.28,"38,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.16.29,"57,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN180 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm,",,
2.16.30,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
