Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.14.148,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.149,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
2.14.150,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m.",
2.14.151,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN225 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.152,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",,
2.14.153,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.14.154,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",5 m.,
2.14.155,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.135 Muffe Luftleitg rund PP DN355 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 355 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5",m.,
2.14.156,"5,000 St *** Bezugsbeschreibung Enddeckel Luftleitg rund zum Einstecken PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Enddeckel, für Luftleitung, rund, zum Einstecken, aus Polypropylen (PP) DIN 4741, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. und Temperatur, Außendurchmesser 110 mm, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, über Gelände/Fußboden bis 3,5 m.",,Betriebsdruck Montagehöhe
2.14.157,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.156 Enddeckel Luftleitg rund zum Einstecken PP DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
