Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.71,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN200 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.72,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN250 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 250,",,
1.13.73,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN250 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.74,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN250 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",,
1.13.75,"1,000 St *** Bezugsbeschreibung Bogen Luftleitg rund 30Grad Stahl verz DN100 glatt H bis 3,5m STLB-Bau 2023-10 075 3624",,
1.13.76,"2,000 St Bogen Luftleitg rund 30Grad Stahl verz DN100 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 DIN EN gleich 1 DN, 30 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN mit Lippendichtung, geschraubt/genietet, mit Dichtungsband, geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Gelände/Fußboden über 3,5 bis 5 m, mit Aufhänge-/Auflagekonstruktion schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Bohrungen, Befestigungsuntergrund Stahlbeton.","16798-3, 100, glatt, min./max. Temperatur Pa, Montagehöhe DIN EN","Biegeradius größer mit Einsteckenden, der über 12236, Nachweis einschl."
1.13.77,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN125 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",,
1.13.78,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN125 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.79,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN160 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
1.13.80,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.75 Bogen Luftleitg rund 30Grad Stahl verz DN200 glatt H bis 3,5m",,
