Pos-Nr. Nr.),(Pos-,"Menge Einheit Einheitspreis in EUR einlagig, kaschiert mit Aluminiumfolie, Ausschnitte für Durchführungen von",Gesamtpreis in EUR Bauteilen wie bis
4.1.41,,"Stutzen von Messfühlern, Entwässerungsstutzen, Halterungen, Antriebe, u.ä., Durchmesser 30mm Isolierung ohne zusätzliche Blechummantelung, einschließlich Anarbeitung, Abdichten, Verkleben der Schnittkanten/ Fugen und Stöße. 5,000 St *** Bezugsbeschreibung Ausschnitt aus Wärmedämmung, Mineralwolle, Kanal eckig, Kanten-L. bis 500mm",kaschiert mit
4.1.42,,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.41 Ausschnitt aus Wärmedämmung, Mineralwolle, Kanal eckig, Kanten-L. 500 bis 1000mm größte Kantenlänge des Ausschnitts über 500 bis 1.000mm",
4.1.43,,"*** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.41 Ausschnitt aus Wärmedämmung, Mineralwolle, Kanal eckig, Kanten-L. 1000 bis 1500mm größte Kantenlänge des Ausschnitts über 1000 bis 1.500mm",
4.1.44,,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.41 Ausschnitt aus Wärmedämmung, Mineralwolle, Kanal eckig, Kanten-L. 1500 bis 2000mm größte Kantenlänge des Ausschnitts über 1500 bis 2.000mm",
4.1.45,,"*** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.41 Ausschnitt aus Wärmedämmung, Mineralwolle, Inspektionsöffnung Ausschnitt oval an Inspektionsöffnungen im Kanal, Abmessungen 180/80 mm bis 200/100 mm St",
4.1.46,,"30,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.41 Ausschnitt aus Wärmedämmung, Mineralwolle, Inspektionsöffnung Ausschnitt oval an Inspektionsöffnungen im Kanal, Abmessungen 300/200 mm bis 400/300 mm",
4.1.47,,"Ausschnitte aus Wärmedämmung an runden Lüftungskanälen Ausschnitt aus Wärmedämmung, Mineralwolle, D bis 30mm Ausschnitt aus Dämmung aus Mineralwolle, an runden Lüftungskanälen, Dämmschichtdicke 30 einlagig, kaschiert mit Aluminiumfolie, Ausschnitte für Durchführungen von Bauteilen wie Stutzen von Messfühlern, Entwässerungsstutzen, Halterungen, Antriebe, u.ä., Durchmesser 30mm, Isolierung ohne zusätzliche Blechummantelung, einschließlich Anarbeitung, Verkleben der Schnittkanten/ Fugen und Stöße.","mm, bis Abdichten,"
4.1.48,,"*** Bezugsbeschreibung Ausschnitt aus Wärmedämmung, Mineralwolle, Kanal rund, D bis 200mm Ausschnitt aus Wärmedämmung aus Mineralwolle, Dämmschichtdicke 30 mm, einlagig, kaschiert mit Aluminiumfolie, an runden Lüftungskanälen, Ausschnitte für Kanal-T-Stücke, Anschlussstutzen für runde Kanäle, u.ä. Durchmesser des Anschlussstutzens bis 200 mm, Isolierung ohne zusätzliche Blechummantelung, einschließlich Anarbeitung, Abdichten, Verkleben der Schnittkanten/ Fugen und Stöße. 5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.48",
4.1.49,,"Ausschnitt aus Wärmedämmung, Mineralwolle, Kanal rund, D bis 400mm Durchmesser des Anschlussstutzens über 200 bis 400 mm",
