Pos-Nr. Nr.),Einheit,Gesamtpreis in
2.18,EUR EUR,EUR EUR
2.18.1,"Luftleitungssystem - Rohrleitungen und Zubehör, Stahl verzinkt *** Bezugsbeschreibung Luftltg rund ATC2 Stahl verz längsgefalzt DN100 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, aus verzinktem Stahl, längsgefalzt, Maße DIN EN 1506, DN 100, Verbindung bei glatten Rohrenden mit Flanschprofil und Spannring, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.","Luftleitungssystem - Rohrleitungen und Zubehör, Stahl verzinkt *** Bezugsbeschreibung Luftltg rund ATC2 Stahl verz längsgefalzt DN100 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, aus verzinktem Stahl, längsgefalzt, Maße DIN EN 1506, DN 100, Verbindung bei glatten Rohrenden mit Flanschprofil und Spannring, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton."
2.18.2,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN100 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN100 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
2.18.3,"20,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN125 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 125, 5,000 m","20,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN125 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 125, 5,000 m"
2.18.4,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN125 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN125 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
2.18.5,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN160 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 160,","10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN160 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 160,"
2.18.6,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN160 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, m","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN160 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, m"
2.18.7,"5,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN200 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 200, 5,000 m","5,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN200 -750-2000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 200, 5,000 m"
2.18.8,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN200 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1 Luftltg rund ATC2 Stahl verz längsgefalzt DN200 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.18.1"
2.18.9,"Luftltg rund ATC2 Stahl verz längsgefalzt DN250 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625","Luftltg rund ATC2 Stahl verz längsgefalzt DN250 -750-2000Pa H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3625"
