Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis EUR,in Gesamtpreis EUR
2.14.180,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 200 DN 200.",,
2.14.181,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 225 DN 225.",,
2.14.182,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 250 DN 250.",,
2.14.183,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 280 DN 280.",,
2.14.184,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.174 PPs-Flansch DN 355 DN 355.",,
2.14.185,"Revisionsöffnung einzubauen. Inspektionsöffnung rund, aus Polypropylen, einschl. Verbindungselementen und Ausschnitt im Kanal *** Bezugsbeschreibung Inspektionsöffnung oval PP 180/80mm STLB-Bau 2023-10 075 3611 Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, oval, Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Maße 180/80",zusätzlich im Anschlusskanal,"aus mm, für Einbau Luftdichtheitsklasse ATC3 DIN"
2.14.186,"100,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.185 Inspektionsöffnung oval PP 200/100mm STLB-Bau 2023-10 075 3611 Maße 200/100 mm,",,
2.14.187,"70,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.185 Inspektionsöffnung oval PP 300/200mm STLB-Bau 2023-10 075 3611 Maße 300/200 mm,",,
2.14.188,"50,000 St Messstutzen 1/2"" PPs Messstutzen 1/2"" PPs, luftdicht verschließbar, für Einbau von Prüfmessgeräten sowie Festinstallation von Messgeräten und Messwertgebern, für Messwerte zur Nachprüfung und Dauerkontrolle. Diese sind in den Lüftungsgeräten und in den Kanälen einzusetzen und kennzeichnen.",,zur zu
2.14.189,"40,000 St Entwässerungsstutzen DN 25 PPs Entwässerungsstutzen DN 25 zum Ableiten von Kondensat aus den Kanälen. Wasserdicht eingebaut und an zugänglicher Stelle plaziert, jeweils am Tiefpunkt. Material aus PPs mit Außengewinde und Verschlusskappe DN 25.",,
,"30,000 St",,
