Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.163,"Muffe Luftleitg rund Stahl verz DN160 H 5-7m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.164,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN200 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200,",,
1.13.165,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN200 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.166,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN200 H 5-7m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.167,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN250 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 250,",,
1.13.168,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN250 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.169,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN250 H 5-7m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.170,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN355 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.171,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN560 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 560,",,
1.13.172,"1,000 St *** Bezugsbeschreibung Steckverbinder Luftleitg rund Stahl verz DN80 H bis 3,5m STLB-Bau 2023-10 075 3624 Steckverbinder, für Luftleitung, rund, Luftdichtheitsklasse ATC3 1506, aus verzinktem Stahl, DN 80, min./max. Temperatur der Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden","DIN EN 16798-3, geförderten Luft bis 3,5 m.","Maße DIN EN -15 bis 40 Grad C,"
1.13.173,"95,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN80 H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
