Pos-Nr. (Pos- Nr.),Menge,Einheit,Einheitspreis in EUR
2.12.41,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 350 mm, Nennhöhe 300 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 350 mm, Nennhöhe 300 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 350 mm, Nennhöhe 300 mm"
2.12.42,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 350 mm, Nennhöhe 350 mm 2,000 St","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 350 mm, Nennhöhe 350 mm 2,000 St","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 350 mm, Nennhöhe 350 mm 2,000 St"
2.12.43,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 200 mm","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 200 mm","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 200 mm"
2.12.44,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 300 mm","4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 300 mm","4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 300 mm"
2.12.45,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 350 mm","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 350 mm","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 350 mm"
2.12.46,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 400 mm"
2.12.47,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 300 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 300 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 300 mm"
2.12.48,"1,000 St","1,000 St","1,000 St"
,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 400 mm","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 400 mm","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 400 mm"
2.12.49,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 600 mm, Nennhöhe 300 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 600 mm, Nennhöhe 300 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 600 mm, Nennhöhe 300 mm"
