Pos-Nr. Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
1.12.28,"220,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L ü. 2000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 2000 mm, Wanddicke 1,1 mm,",
1.12.29,"70,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L ü. 2000mm H 3,5-5m STLB-Bau 2023-10 075 4888",
1.12.30,"95,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L ü. 2000mm H 5-7m STLB-Bau 2023-10 075 4888","über 5 bis 7 m,"
1.12.31,"95,000 m2 *** Bezugsbeschreibung Elastische Verbindung rechteckige Luftleitg Kanten-L bis 250mm STLB-Bau 2023-10 075 3609 Elastisches Verbindungsstück, Luftdichtheitsklasse ATC3 DIN EN 16798-3, 1507, mit Potentialausgleich, für rechteckige Luftleitung, größte Kantenlänge","Druckklasse 2 DIN EN bis 250 mm, mit nichtrostendem Stahl"
1.12.32,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.31 Elastische Verbindung rechteckige Luftleitg Kanten-L 250-500mm STLB-Bau 2023-10 075 3609",
1.12.33,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.31 Elastische Verbindung rechteckige Luftleitg Kanten-L 500-1000mm STLB-Bau 2023-10 075 3609 größte Kantenlänge über 500 bis 1000 mm,",
1.12.34,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.31 Elastische Verbindung rechteckige Luftleitg Kanten-L 1000-1500mm STLB-Bau 2023-10 075 3609 größte Kantenlänge über 1000 bis 1500 mm, 30,000 St",
1.12.36,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.31 Elastische Verbindung rechteckige Luftleitg Kanten-L ü. 2000mm STLB-Bau 2023-10 075 3609 größte Kantenlänge über 2000 mm,",
,"5,000 St *** Bezugsbeschreibung Wand-/Deckendurchführung (Sichtinstallation) bis 250mm Wand-/Deckendurchführung bei Sichtinstallation, für Wände/Decken ohne Anforderung, für eckige Luftleitungen aus verzinktem Stahl, größte Wand-/Deckendicke über 100 bis 350 mm. Kanaldurchführung mit umlaufender",
1.12.37,"Brandschutztechnische Kantenlänge bis 250 Körperschalldämmung und beidseitigen Abdeckrahmen aus verzinktem Stahlblech bei Sichtinstallation, verfüllen","mm, des"
