Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis
2.16.42,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 110 mm,",
2.16.43,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,"
2.16.44,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 125 mm,",
2.16.45,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis"
2.16.46,"9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 200 mm,",
2.16.47,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 200 mm, Montagehöhe über","Gelände/Fußboden über 3,5 bis 5 m,"
2.16.48,"11,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 250 mm,",
2.16.49,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN250 H 3,5-5m STLB-Bau 2023-10 075 3620",
2.16.50,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 30Grad PPs-el DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 30 Grad,",
2.16.51,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 30Grad PPs-el DN90 H bis 3,5m STLB-Bau 2023-10 075 3620",
2.16.52,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 30Grad PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620",
