Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
2.16.10,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 160mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.16.11,"100,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 180mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 180 mm,",
2.16.12,"35,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 180mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.16.13,"70,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 200mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 200 mm,",
2.16.14,"35,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 200mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.16.15,"105,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 250mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 250 mm,",
2.16.16,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 250mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.16.17,"30,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 280mm H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 280 mm,",
2.16.18,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.1 Luftltg rund PPs-el AD 280mm H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3621 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.16.19,"10,000 m *** Bezugsbeschreibung Bogen Luftleitg rund 90Grad PPs-el DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Bogen, für Luftleitung, rund, Biegeradius größer gleich 1 DN, 90 Grad, aus Polypropylen (PPs- el) elektrisch leitfähig, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Temperatur, Außendurchmesser 75 mm, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.",
