Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
,"STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106",5 m.,
2.16.114,"Muffe Luftleitg rund PPs-el DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, 8,000",St,
2.16.116 2.16.117,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, 8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN250 H","3,5-5m",
2.16.118,"STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden 22,000 St *** Bezugsbeschreibung PP-el-Kugelmanschette DN160","über 3,5 bis 5 m. aus Edelstahl, ohne Querschnittsverengung mit glatten Enden, Befestigung",
,"PP-el-Kugelmanschette DN160 inkl. 2 Spannbändern einsetzbar durch Kugelform, für Kunststoff-Rohrleitungen Spannbänder, Manschettenmaterial auf PP-Basis, max. Druck -2000 Pa 4,000 St","elektrisch leitfähig, max.","durch Einsatztemp. + 40° C,"
2.16.119,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.118 PP-el-Kugelmanschette DN200 DN200 10,000 St",2.16.118,
2.16.120 2.16.121,"*** Wiederholungsbeschreibung zu Bezugs-OZ PP-el-Kugelmanschette DN250 DN250 4,000 St Inspektionsöffnungen","Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, selbstklebend. Zur besseren späteren Prüfung der Brandschutzklappen ist zusätzlich Anschlusskanal jeweils eine Revisionsöffnungen einzubauen. Inspektionsöffnung Polypropylen, leitfähig, einschl. Verbindungselementen und Ausschnitt im Kanal rund PPs-el Durchm. 180-300mm und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, (PP), elektrisch leitfähig, Baustoffklasse DIN 4102-1 B1","Dichtung aus PTFE, im rund, aus aus"
,"Inspektionsöffnung Inspektions- Polypropylen Durchmesser über 180 bis 300 mm, für Einbau in runde Luftleitung. 30,000 St Inspektionsöffnung PPs-el bis 180 mm","mit Einbaurahmen und Dichtung, rund, aus DIN 4102-1 B1 (schwerentflammbar), Luftleitung, mit Schraubverschluss und","rund, (schwerentflammbar),"
2.16.122,"Inspektions- und Wartungsöffnung als Deckel Polypropylen (PP), elektrisch leitfähig, Baustoffklasse Durchmesser bis 180 mm, für Einbau in runde Rändelmutter. 40,000 St",,
2.16.123,"Messstutzen 1/2"" PPs-el Messstutzen 1/2"" PPs,el, luftdicht verschließbar, für Einbau von","Prüfmessgeräten Festinstallation von Messgeräten und Messwertgebern, für alle erforderlichen Messwerte",sowie zur zur
