Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.16.31,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
2.16.32,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.16.33,"52,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",,
2.16.34,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN250 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.16.35,"75,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN280 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm,",,
2.16.36,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 90Grad PPs-el DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.16.37,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 60Grad PPs-el DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 60 Grad, Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden","über 3,5","bis 5 m,"
2.16.38,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad,",,
2.16.39,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN75 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",,
2.16.40,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 90 mm,",,
2.16.41,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.19 Bogen Luftleitg rund 45Grad PPs-el DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5",,"m,"
