Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
6.5,Ausstattung Technikzentralen,,
,Hinweis Ausstattung Technikzentralen Die folgenden Positionen sind für den Verbleib im Gebäude,vorgesehen.,
6.5.1,"Werkzeugschrank mit Pultaufsatz Werkzeugschrankset mit Pultaufsatz zur Aufnahme der HAR, Heizung, PKW, Druckluft (UG) und RLT - Zentrael,",,
,,"Dokumentation, Betriebsbücher Kältezentrale (4.OG),","etc. im Raum fahrbar, bestehend 100 mm und 2 Lenkrollen"
,"4,000 St",,
6.5.2,"Mobiler Montagetritt Mobiler Montagetritt für Wartung der Brandschutzklappen auf überhöhtem Schachtdeckel in der Lüftungszentrale, fahrbarer Montagetritt aus Aluminium mit rutschhemmenden Stufen und Aufstiegsbügel - stabile, verschweißte Rohrkonstruktion aus Aluminium, - Stufen mind. 240 mm breit, aus Aluminiumriffelblech, - zwei integrierte Fahrrollen für sicheren Transport, - höhenverstellbare Fußplatten, - Höhe der oberen Standfläche ca. 50 cm über Fußboden, - Höhe Aufstiegsbügel ca. 1,50 m über Fußboden,","Mobiler Montagetritt Mobiler Montagetritt für Wartung der Brandschutzklappen auf überhöhtem Schachtdeckel in der Lüftungszentrale, fahrbarer Montagetritt aus Aluminium mit rutschhemmenden Stufen und Aufstiegsbügel - stabile, verschweißte Rohrkonstruktion aus Aluminium, - Stufen mind. 240 mm breit, aus Aluminiumriffelblech, - zwei integrierte Fahrrollen für sicheren Transport, - höhenverstellbare Fußplatten, - Höhe der oberen Standfläche ca. 50 cm über Fußboden, - Höhe Aufstiegsbügel ca. 1,50 m über Fußboden,","Mobiler Montagetritt Mobiler Montagetritt für Wartung der Brandschutzklappen auf überhöhtem Schachtdeckel in der Lüftungszentrale, fahrbarer Montagetritt aus Aluminium mit rutschhemmenden Stufen und Aufstiegsbügel - stabile, verschweißte Rohrkonstruktion aus Aluminium, - Stufen mind. 240 mm breit, aus Aluminiumriffelblech, - zwei integrierte Fahrrollen für sicheren Transport, - höhenverstellbare Fußplatten, - Höhe der oberen Standfläche ca. 50 cm über Fußboden, - Höhe Aufstiegsbügel ca. 1,50 m über Fußboden,"
,"1,000 St",,
6.5.3,"Rollbare Podestleiter als Wartungsbühne Rollbare Podestleiter als Bedienbühne zur Wartung der Klimageräte, fahrbar und klappbar aus Aluminium, einseitig besteigbar, Stufen rutschsicher profiliert, Tiefe ca. 200 mm, Podestleiter beim Besteigen selbsttätig bremsend, mit selbstarretierenden Lenkrollen, gemäß BGI 637 mit beidseitigem Handlauf, mit Podestplattform aus geriffeltem Aluminium-Belag, Abmessung ca. 650 mm x 600 mm, mit 3-seitigem Podestgeländer mit Knie und Fußleisten, senkrechte Höhe bis","Rollbare Podestleiter als Wartungsbühne Rollbare Podestleiter als Bedienbühne zur Wartung der Klimageräte, fahrbar und klappbar aus Aluminium, einseitig besteigbar, Stufen rutschsicher profiliert, Tiefe ca. 200 mm, Podestleiter beim Besteigen selbsttätig bremsend, mit selbstarretierenden Lenkrollen, gemäß BGI 637 mit beidseitigem Handlauf, mit Podestplattform aus geriffeltem Aluminium-Belag, Abmessung ca. 650 mm x 600 mm, mit 3-seitigem Podestgeländer mit Knie und Fußleisten, senkrechte Höhe bis","Rollbare Podestleiter als Wartungsbühne Rollbare Podestleiter als Bedienbühne zur Wartung der Klimageräte, fahrbar und klappbar aus Aluminium, einseitig besteigbar, Stufen rutschsicher profiliert, Tiefe ca. 200 mm, Podestleiter beim Besteigen selbsttätig bremsend, mit selbstarretierenden Lenkrollen, gemäß BGI 637 mit beidseitigem Handlauf, mit Podestplattform aus geriffeltem Aluminium-Belag, Abmessung ca. 650 mm x 600 mm, mit 3-seitigem Podestgeländer mit Knie und Fußleisten, senkrechte Höhe bis"
,"1,000",,
6.5.4,"St Treppenpodest mit Geländer Treppenpodest mit Geländer für Zugänglichkeit der Revisionstür in der Außenluftkammer in der Lüftungszentrale Arbeitsplattform mit Aufstieg. Stationäre Ausführung. Stufenbreiten: 1000mm Stufen- und Plattformbelag aus Stahl-Gitterrost, rutschfest. mit Handlauf beidseitig Technische Daten Neigung: 45°","St Treppenpodest mit Geländer Treppenpodest mit Geländer für Zugänglichkeit der Revisionstür in der Außenluftkammer in der Lüftungszentrale Arbeitsplattform mit Aufstieg. Stationäre Ausführung. Stufenbreiten: 1000mm Stufen- und Plattformbelag aus Stahl-Gitterrost, rutschfest. mit Handlauf beidseitig Technische Daten Neigung: 45°","St Treppenpodest mit Geländer Treppenpodest mit Geländer für Zugänglichkeit der Revisionstür in der Außenluftkammer in der Lüftungszentrale Arbeitsplattform mit Aufstieg. Stationäre Ausführung. Stufenbreiten: 1000mm Stufen- und Plattformbelag aus Stahl-Gitterrost, rutschfest. mit Handlauf beidseitig Technische Daten Neigung: 45°"
