Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.16.62,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.16.63,"14,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.64,"21,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN180 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm,",,
2.16.65,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.66,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN200 H bis 3,5m STLB-Bau 2023-10 075 3620",,
2.16.67,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.68,"22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN280 H bis 3,5m STLB-Bau 2023-10 075 3620",,
2.16.69,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.56 Übergangsstück Luftleitg rund konisch PPs-el DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.70,"7,000 St *** Bezugsbeschreibung Abzweigstück Luftleitg rund 90Grad PPs-el DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Abzweigstück, für Luftleitung, rund, 90 Grad, aus Polypropylen (PPs-el) elektrisch leitfähig, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Temperatur, Außendurchmesser 75 mm, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.",,
2.16.71,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm,",,
